date,mandi_id,crop_name,avg_modal_price,avg_msp,records_count,below_msp_count
2026-01-01,MANDI004,Narma,7249.66,6620.0,1,0
2026-01-01,MANDI004,Wheat,2063.64,2275.0,1,1
2026-01-01,MANDI008,Mustard,6097.65,5650.0,1,0
2026-01-01,MANDI009,Maize,1944.77,2090.0,1,1
2026-01-01,MANDI012,Maize,2317.8546037501774,2090.0,1,0
2026-01-01,MANDI013,Rice,2395.42,2183.0,1,0
2026-01-01,MANDI014,Basmati,2337.57,2183.0,1,0
2026-01-01,MANDI014,Cotton,6048.62,6620.0,1,1
2026-01-01,MANDI015,Mustard,5885.0,5650.0,1,0
2026-01-01,MANDI015,Wheat,2558.0,2275.0,1,0
2026-01-01,MANDI017,Mustard,6083.59,5650.0,1,0
2026-01-01,MANDI017,Rice,2296.84,2183.0,1,0
2026-01-01,MANDI020,Mustard,5092.0,5650.0,1,1
2026-01-01,MANDI020,Wheat,2063.0,2275.0,1,1
2026-01-01,MANDI021,Mustard,5578.0,5650.0,1,1
2026-01-01,MANDI023,Mustard,5358.18,5650.0,1,1
2026-01-01,MANDI025,Rice,2415.5947738451696,2183.0,1,0
2026-01-01,MANDI030,Maize,2104.7069006619718,2090.0,1,0
2026-01-01,MANDI031,Cotton,6363.590957735823,6620.0,1,1
2026-01-01,MANDI033,Rice,2376.0,2183.0,2,0
2026-01-01,MANDI034,Mustard,6356.0,5650.0,1,0
2026-01-01,MANDI036,Rice,2048.06,2183.0,1,1
2026-01-01,MANDI038,Sugarcane,3336.2578160638777,3500.0,1,1
2026-01-01,MANDI039,Maize,2348.7,2090.0,1,0
2026-01-01,MANDI041,Mustard,5749.0,5650.0,1,0
2026-01-01,MANDI042,Sugarcane,3807.24,3500.0,1,0
2026-01-01,MANDI044,Maize,2231.51,2090.0,2,0
2026-01-01,MANDI044,Mustard,5767.6,5650.0,1,0
2026-01-01,MANDI044,Wheat,2355.0,2275.0,1,0
2026-01-01,MANDI047,Narma,5950.3,6620.0,1,1
2026-01-01,MANDI047,Sugarcane,3334.0,3500.0,1,1
2026-01-01,MANDI052,Mustard,6047.837947404732,5650.0,1,0
2026-01-01,MANDI055,Maize,2338.17,2090.0,1,0
2026-01-01,MANDI055,Wheat,2257.69,2275.0,1,1
2026-01-01,MANDI057,Maize,2243.98,2090.0,1,0
2026-01-02,MANDI001,Maize,2293.0,2090.0,1,0
2026-01-02,MANDI003,Sugarcane,3557.0,3500.0,1,0
2026-01-02,MANDI004,Cotton,7226.0,6620.0,1,0
2026-01-02,MANDI005,Wheat,2189.0,2275.0,1,1
2026-01-02,MANDI008,Rice,2356.29,2183.0,1,0
